Date,Open,High,Low,Close,Adj Close,Volume
2018-09-11,54.830002,55.400002,54.770000,55.119999,54.084141,7873900
2018-09-12,55.200001,55.200001,54.330002,54.970001,53.936958,7297300
2018-09-13,55.119999,55.570000,54.740002,54.889999,53.858463,8566600
2018-09-14,55.000000,55.000000,54.610001,54.750000,53.721092,6827700
2018-09-17,54.700001,54.860001,54.279999,54.570000,53.544476,9277200
2018-09-18,54.480000,55.279999,54.099998,55.070000,54.035080,7569600
2018-09-19,55.220001,55.790001,54.900002,55.430000,54.388313,7451600
2018-09-20,55.599998,56.730000,55.599998,56.430000,55.369522,10582600
2018-09-21,56.549999,57.570000,56.520000,57.450001,56.370354,25800500
2018-09-24,56.939999,57.360001,56.580002,56.689999,55.624634,10616000
2018-09-25,56.980000,57.290001,56.830002,56.900002,55.830688,9445500
2018-09-26,56.770000,57.840000,56.750000,57.270000,56.193737,7757300
2018-09-27,57.099998,57.790001,57.099998,57.340000,56.262421,6606200
2018-09-28,57.389999,57.389999,56.779999,56.840000,55.771816,8975900
2018-10-01,56.910000,56.950001,55.529999,55.580002,54.535500,12726900
2018-10-02,55.549999,56.009998,55.290001,55.590000,54.545311,12680800
2018-10-03,55.799999,56.110001,55.459999,55.470001,54.427563,7383500
2018-10-04,55.779999,56.080002,55.500000,55.889999,54.839672,9722000
2018-10-05,55.950001,55.950001,55.310001,55.759998,54.712109,9734000
2018-10-08,55.820000,56.750000,55.450001,56.540001,55.477455,9623900
2018-10-09,56.830002,59.700001,56.810001,57.709999,56.625465,24855700
2018-10-10,57.669998,57.869999,55.939999,56.009998,54.957417,14190500
2018-10-11,55.700001,56.270000,54.709999,54.860001,53.829029,15316900
2018-10-12,55.709999,56.779999,55.279999,56.450001,55.389149,13980500
2018-10-15,56.369999,57.189999,56.310001,56.750000,55.683506,10175100
2018-10-16,56.939999,58.009998,56.770000,57.810001,56.723591,11731400
2018-10-17,57.900002,59.400002,57.779999,59.099998,57.989346,14631000
2018-10-18,59.000000,59.529999,58.150002,58.639999,57.537991,12184700
2018-10-19,58.389999,59.070000,58.389999,58.660000,57.557613,10180500
2018-10-22,58.930000,59.360001,58.580002,58.900002,57.793102,8680200
2018-10-23,58.360001,59.299999,58.209999,58.810001,57.704800,12834200
2018-10-24,58.570000,59.279999,57.950001,58.060001,56.968891,12189700
2018-10-25,58.290001,59.470001,57.700001,58.959999,57.851978,9569600
2018-10-26,58.040001,58.360001,57.389999,58.070000,56.978703,13367600
2018-10-29,58.680000,59.680000,57.700001,58.369999,57.273067,14412800
2018-10-30,58.430000,58.869999,57.689999,58.590000,57.488930,14230100
